Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,1.150000,1.180000,1.140000,1.180000,1.072476,1975100
2018-01-03,1.170000,1.270000,1.170000,1.220000,1.108831,8690900
2018-01-04,1.230000,1.240000,1.190000,1.200000,1.090653,1751000
2018-01-05,1.210000,1.240000,1.200000,1.200000,1.090653,3882300
2018-01-08,1.210000,1.290000,1.210000,1.280000,1.163364,13259600
2018-01-09,1.290000,1.300000,1.240000,1.250000,1.136097,6349400
2018-01-10,1.260000,1.280000,1.240000,1.270000,1.154275,3288300
2018-01-11,1.270000,1.270000,1.220000,1.230000,1.117920,1825400
2018-01-12,1.230000,1.250000,1.220000,1.230000,1.117920,877200
2018-01-15,1.230000,1.230000,1.200000,1.210000,1.099742,1982300
2018-01-16,1.200000,1.200000,1.160000,1.180000,1.072476,1918600
2018-01-17,1.180000,1.190000,1.170000,1.170000,1.063387,360500
2018-01-18,1.170000,1.180000,1.160000,1.180000,1.072476,1259500
2018-01-19,1.170000,1.200000,1.160000,1.180000,1.072476,1054600
2018-01-22,1.180000,1.220000,1.180000,1.200000,1.090653,1601200
2018-01-23,1.210000,1.210000,1.190000,1.200000,1.090653,347800
2018-01-24,1.200000,1.200000,1.170000,1.170000,1.063387,805000
2018-01-25,1.180000,1.230000,1.180000,1.230000,1.117920,2082100
2018-01-26,1.230000,1.230000,1.200000,1.200000,1.090653,759900
2018-01-29,1.210000,1.210000,1.170000,1.170000,1.063387,730100
2018-01-30,1.170000,1.190000,1.160000,1.180000,1.072476,1309500
2018-02-02,1.170000,1.180000,1.150000,1.170000,1.063387,1231700
2018-02-05,1.160000,1.160000,1.090000,1.090000,0.990677,3058600
2018-02-06,1.040000,1.040000,0.985000,1.030000,0.936144,14595300
2018-02-07,1.050000,1.080000,1.000000,1.010000,0.917967,4979900
2018-02-08,1.020000,1.050000,1.020000,1.030000,0.936144,2182900
2018-02-09,1.000000,1.020000,0.995000,1.010000,0.917967,3566400
2018-02-12,1.030000,1.030000,1.000000,1.000000,0.908878,1849100
2018-02-13,1.010000,1.030000,1.010000,1.020000,0.927055,2591900
