Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,3.700000,3.790000,3.620000,3.790000,3.474961,225300
2018-01-03,3.790000,3.800000,3.660000,3.750000,3.438286,680300
2018-01-04,3.770000,3.770000,3.700000,3.730000,3.419948,772000
2018-01-05,3.700000,3.730000,3.540000,3.570000,3.273248,3544600
2018-01-08,3.570000,3.590000,3.550000,3.580000,3.282417,1092000
2018-01-09,3.590000,3.590000,3.510000,3.530000,3.236573,1234500
2018-01-10,3.540000,3.540000,3.360000,3.410000,3.126548,4995400
2018-01-11,3.430000,3.470000,3.380000,3.410000,3.126548,3795800
2018-01-12,3.440000,3.480000,3.440000,3.480000,3.190729,914000
2018-01-15,3.460000,3.480000,3.450000,3.450000,3.163223,416300
2018-01-16,3.470000,3.480000,3.430000,3.450000,3.163223,1754400
2018-01-17,3.450000,3.500000,3.450000,3.500000,3.209067,1091500
2018-01-18,3.500000,3.590000,3.500000,3.580000,3.282417,2776000
2018-01-19,3.590000,3.600000,3.550000,3.580000,3.282417,638700
2018-01-22,3.580000,3.590000,3.480000,3.590000,3.291585,498700
2018-01-23,3.590000,3.620000,3.530000,3.620000,3.319092,480500
2018-01-24,3.620000,3.630000,3.490000,3.540000,3.245742,2510600
2018-01-25,3.570000,3.570000,3.480000,3.540000,3.245742,2340000
2018-01-26,3.580000,3.580000,3.460000,3.470000,3.181561,1047300
2018-01-29,3.490000,3.500000,3.450000,3.470000,3.181561,977500
2018-01-30,3.450000,3.500000,3.420000,3.500000,3.209067,1094700
2018-02-02,3.550000,3.570000,3.450000,3.490000,3.199898,1521900
2018-02-05,3.470000,3.470000,3.370000,3.370000,3.089873,610300
2018-02-06,3.340000,3.340000,3.120000,3.260000,2.989017,2153700
2018-02-07,3.340000,3.340000,3.210000,3.330000,3.053198,2385000
2018-02-08,3.260000,3.550000,3.260000,3.540000,3.245742,4241600
2018-02-09,3.400000,3.650000,3.400000,3.620000,3.319092,2557800
2018-02-12,3.650000,3.730000,3.620000,3.700000,3.392442,4031300
2018-02-13,3.720000,3.720000,3.570000,3.600000,3.300754,1696300
2018-02-14,3.600000,3.750000,3.540000,3.580000,3.282417,933900
2018-02-15,3.580000,3.700000,3.580000,3.700000,3.392442,310100
2018-02-16,null,null,null,null,null,null
2018-02-19,3.710000,3.720000,3.630000,3.690000,3.383273,604200
2018-02-20,3.700000,3.700000,3.660000,3.680000,3.374104,792100
2018-02-21,3.570000,3.650000,3.540000,3.640000,3.411121,821600
2018-02-22,3.600000,3.710000,3.580000,3.700000,3.467348,803400
2018-02-23,3.650000,3.700000,3.610000,3.700000,3.467348,778500
2018-02-26,3.700000,3.710000,3.610000,3.640000,3.411121,1357200
2018-02-27,3.660000,3.710000,3.630000,3.680000,3.448606,2835600
2018-02-28,3.730000,3.730000,3.630000,3.680000,3.448606,1482100
2018-03-01,3.680000,3.700000,3.620000,3.650000,3.420492,502900
2018-03-02,3.640000,3.710000,3.590000,3.650000,3.420492,1725500
2018-03-05,3.610000,3.610000,3.520000,3.580000,3.354894,485000
2018-03-06,3.550000,3.570000,3.530000,3.550000,3.326780,293700
2018-03-07,3.520000,3.540000,3.400000,3.450000,3.233068,939800
2018-03-08,3.410000,3.640000,3.410000,3.510000,3.289295,588400
2018-03-09,3.520000,3.600000,3.520000,3.580000,3.354894,294100
2018-03-12,3.580000,3.610000,3.520000,3.560000,3.336151,795800
2018-03-13,3.530000,3.610000,3.520000,3.610000,3.383007,855300
2018-03-14,3.530000,3.590000,3.520000,3.530000,3.308037,405000
2018-03-15,3.510000,3.650000,3.440000,3.640000,3.411121,1211300
2018-03-16,3.620000,3.620000,3.520000,3.520000,3.298666,4269500
2018-03-19,3.490000,3.560000,3.490000,3.540000,3.317409,276700
2018-03-20,3.490000,3.560000,3.490000,3.560000,3.336151,505900
2018-03-21,3.570000,3.580000,3.520000,3.580000,3.354894,873800
