Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,0.075000,0.080000,0.075000,0.075000,0.075000,899400
2018-01-03,0.075000,0.085000,0.075000,0.080000,0.080000,15936700
2018-01-04,0.080000,0.085000,0.080000,0.080000,0.080000,18964700
2018-01-05,0.080000,0.090000,0.080000,0.085000,0.085000,63329900
2018-01-08,0.085000,0.090000,0.080000,0.085000,0.085000,20740300
2018-01-09,0.085000,0.090000,0.080000,0.085000,0.085000,14575000
2018-01-10,0.090000,0.090000,0.085000,0.085000,0.085000,18297400
2018-01-11,0.090000,0.090000,0.080000,0.085000,0.085000,15901500
2018-01-12,0.085000,0.090000,0.085000,0.090000,0.090000,4316500
2018-01-15,0.090000,0.095000,0.085000,0.090000,0.090000,49260000
2018-01-16,0.090000,0.110000,0.085000,0.105000,0.105000,249078800
2018-01-17,0.100000,0.105000,0.090000,0.095000,0.095000,48663400
2018-01-18,0.095000,0.095000,0.085000,0.090000,0.090000,45159400
2018-01-19,0.090000,0.095000,0.085000,0.095000,0.095000,19181200
2018-01-22,0.090000,0.095000,0.085000,0.090000,0.090000,43335500
2018-01-23,0.090000,0.095000,0.085000,0.090000,0.090000,34874100
2018-01-24,0.090000,0.095000,0.085000,0.090000,0.090000,19074800
2018-01-25,0.090000,0.095000,0.085000,0.090000,0.090000,39611800
2018-01-26,0.090000,0.095000,0.085000,0.090000,0.090000,9552700
2018-01-29,0.090000,0.095000,0.085000,0.090000,0.090000,3955000
2018-01-30,0.085000,0.090000,0.085000,0.085000,0.085000,3414000
2018-02-02,0.090000,0.090000,0.085000,0.085000,0.085000,7630600
2018-02-05,0.085000,0.085000,0.080000,0.085000,0.085000,9322600
2018-02-06,0.080000,0.080000,0.075000,0.080000,0.080000,18689900
2018-02-07,0.080000,0.085000,0.075000,0.080000,0.080000,4522200
2018-02-08,0.080000,0.080000,0.080000,0.080000,0.080000,1875000
2018-02-09,0.075000,0.080000,0.075000,0.080000,0.080000,8720500
2018-02-12,0.080000,0.080000,0.075000,0.080000,0.080000,6888900
2018-02-13,0.080000,0.080000,0.075000,0.075000,0.075000,3304700
2018-02-14,0.080000,0.080000,0.075000,0.080000,0.080000,5137900
2018-02-15,0.080000,0.080000,0.080000,0.080000,0.080000,0
2018-02-16,0.080000,0.080000,0.080000,0.080000,0.080000,0
2018-02-19,0.080000,0.085000,0.080000,0.085000,0.085000,15472800
2018-02-20,0.080000,0.085000,0.075000,0.080000,0.080000,4232500
2018-02-21,0.080000,0.080000,0.075000,0.075000,0.075000,2670500
2018-02-22,0.075000,0.080000,0.075000,0.075000,0.075000,4450000
2018-02-23,0.075000,0.080000,0.075000,0.075000,0.075000,2831100
2018-02-26,0.080000,0.080000,0.075000,0.075000,0.075000,2437500
2018-02-27,0.080000,0.080000,0.075000,0.075000,0.075000,1845000
2018-02-28,0.075000,0.075000,0.065000,0.070000,0.070000,33139100
2018-03-01,0.045000,0.045000,0.035000,0.040000,0.040000,154426500
2018-03-02,0.045000,0.050000,0.040000,0.045000,0.045000,87801500
2018-03-05,0.045000,0.045000,0.040000,0.040000,0.040000,55542600
2018-03-06,0.045000,0.045000,0.040000,0.040000,0.040000,18034200
2018-03-07,0.040000,0.045000,0.035000,0.040000,0.040000,60937100
2018-03-08,0.040000,0.040000,0.035000,0.040000,0.040000,27570000
2018-03-09,0.035000,0.040000,0.035000,0.035000,0.035000,9993700
2018-03-12,0.035000,0.040000,0.035000,0.040000,0.040000,7301000
2018-03-13,0.035000,0.040000,0.035000,0.035000,0.035000,3908500
2018-03-14,0.035000,0.040000,0.035000,0.035000,0.035000,3152600
2018-03-15,0.035000,0.040000,0.030000,0.040000,0.040000,44361900
2018-03-16,0.040000,0.040000,0.035000,0.040000,0.040000,737200
2018-03-19,0.040000,0.040000,0.035000,0.035000,0.035000,12436500
2018-03-20,0.035000,0.040000,0.030000,0.035000,0.035000,7775000
2018-03-21,0.035000,0.035000,0.030000,0.030000,0.030000,6272000
2018-03-22,0.035000,0.040000,0.035000,0.035000,0.035000,21398600
2018-03-23,0.035000,0.040000,0.030000,0.030000,0.030000,16165100
2018-03-26,0.030000,0.035000,0.030000,0.035000,0.035000,632000
2018-03-27,0.035000,0.035000,0.030000,0.030000,0.030000,1194000
2018-03-28,0.030000,0.035000,0.030000,0.035000,0.035000,6404900
2018-03-29,0.030000,0.030000,0.030000,0.030000,0.030000,435000
2018-03-30,0.030000,0.035000,0.030000,0.030000,0.030000,1818800
2018-04-02,0.030000,0.035000,0.030000,0.035000,0.035000,1664000
2018-04-03,0.030000,0.035000,0.030000,0.030000,0.030000,30398900
2018-04-04,0.030000,0.035000,0.030000,0.030000,0.030000,10002000
2018-04-05,0.030000,0.030000,0.025000,0.025000,0.025000,3862400
2018-04-06,0.030000,0.030000,0.025000,0.030000,0.030000,983500
2018-04-09,0.025000,0.030000,0.025000,0.030000,0.030000,858200
2018-04-10,0.030000,0.030000,0.025000,0.030000,0.030000,4292100
2018-04-11,0.030000,0.035000,0.030000,0.035000,0.035000,1496500
2018-04-12,0.030000,0.035000,0.030000,0.035000,0.035000,866000
2018-04-13,0.030000,0.035000,0.030000,0.035000,0.035000,1144000
2018-04-16,0.035000,0.035000,0.030000,0.035000,0.035000,1345000
2018-04-17,0.030000,0.035000,0.030000,0.030000,0.030000,1003200
2018-04-18,0.035000,0.035000,0.030000,0.030000,0.030000,137000
2018-04-19,0.035000,0.035000,0.030000,0.030000,0.030000,1286100
2018-04-20,0.035000,0.040000,0.035000,0.035000,0.035000,46027100
2018-04-23,0.035000,0.040000,0.035000,0.040000,0.040000,3452200
2018-04-24,0.035000,0.040000,0.030000,0.040000,0.040000,6560900
2018-04-25,0.035000,0.035000,0.030000,0.035000,0.035000,3362000
2018-04-26,0.035000,0.035000,0.030000,0.030000,0.030000,3519600
2018-04-27,0.035000,0.035000,0.030000,0.030000,0.030000,109000
2018-04-30,0.030000,0.035000,0.030000,0.030000,0.030000,1883000
2018-05-02,0.035000,0.035000,0.030000,0.030000,0.030000,581100
2018-05-03,0.030000,0.030000,0.030000,0.030000,0.030000,134500
2018-05-04,0.030000,0.035000,0.030000,0.035000,0.035000,151200
2018-05-07,0.035000,0.035000,0.030000,0.035000,0.035000,697900
2018-05-08,0.035000,0.035000,0.030000,0.035000,0.035000,282000
2018-05-14,0.030000,0.035000,0.030000,0.035000,0.035000,6471900
2018-05-15,0.035000,0.035000,0.030000,0.035000,0.035000,711000
2018-05-16,0.030000,0.030000,0.030000,0.030000,0.030000,1385200
2018-05-17,0.030000,0.035000,0.030000,0.030000,0.030000,1671000
2018-05-18,0.030000,0.035000,0.030000,0.035000,0.035000,1378100
2018-05-21,0.030000,0.030000,0.030000,0.030000,0.030000,263000
2018-05-22,0.030000,0.035000,0.030000,0.030000,0.030000,2451500
2018-05-23,0.030000,0.030000,0.030000,0.030000,0.030000,10334300
2018-05-24,0.030000,0.030000,0.030000,0.030000,0.030000,3530000
2018-05-25,0.030000,0.035000,0.030000,0.035000,0.035000,1273500
2018-05-28,0.030000,0.035000,0.030000,0.035000,0.035000,943000
2018-05-30,0.035000,0.035000,0.035000,0.035000,0.035000,0
2018-05-31,0.035000,0.035000,0.035000,0.035000,0.035000,0
2018-06-01,0.030000,0.035000,0.030000,0.030000,0.030000,676000
2018-06-04,0.035000,0.035000,0.030000,0.035000,0.035000,1458000
2018-06-05,0.035000,0.035000,0.030000,0.030000,0.030000,420000
2018-06-06,0.035000,0.040000,0.035000,0.040000,0.040000,13524600
2018-06-07,0.040000,0.040000,0.035000,0.035000,0.035000,6112100
2018-06-08,0.035000,0.040000,0.035000,0.035000,0.035000,4986200
2018-06-11,0.035000,0.040000,0.035000,0.040000,0.040000,1662000
2018-06-12,0.040000,0.040000,0.035000,0.040000,0.040000,1083000
2018-06-13,0.035000,0.040000,0.035000,0.035000,0.035000,1311000
2018-06-14,0.040000,0.040000,0.035000,0.035000,0.035000,656500
