Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,2.266670,2.300000,2.260000,2.286670,2.143822,9450450
2018-01-03,2.280000,2.400000,2.280000,2.386670,2.237575,23878800
2018-01-04,2.393330,2.513330,2.393330,2.493330,2.337572,13445400
2018-01-05,2.480000,2.486670,2.460000,2.460000,2.306324,4345800
2018-01-08,2.466670,2.546670,2.466670,2.533330,2.375073,10116300
2018-01-09,2.533330,2.533330,2.433330,2.433330,2.281320,13692000
2018-01-10,2.440000,2.466670,2.286670,2.320000,2.175070,36671700
2018-01-11,2.320000,2.366670,2.186670,2.206670,2.068820,39918900
2018-01-12,2.226670,2.280000,2.173330,2.273330,2.131315,29995200
2018-01-15,2.280000,2.293330,2.166670,2.186670,2.050069,27652950
2018-01-16,2.186670,2.240000,2.186670,2.213330,2.075064,12807900
2018-01-17,2.206670,2.220000,2.193330,2.213330,2.075064,7072500
2018-01-18,2.220000,2.253330,2.220000,2.246670,2.106321,9726750
2018-01-19,2.246670,2.320000,2.246670,2.306670,2.162573,14684850
2018-01-22,2.326670,2.346670,2.293330,2.300000,2.156319,8958900
2018-01-23,2.306670,2.326670,2.280000,2.280000,2.137568,8325000
2018-01-24,2.293330,2.300000,2.280000,2.293330,2.150066,3329400
2018-01-25,2.280000,2.293330,2.266670,2.286670,2.143822,8862000
2018-01-26,2.280000,2.293330,2.266670,2.286670,2.143822,3703500
2018-01-29,2.293330,2.300000,2.273330,2.280000,2.137568,4813500
2018-01-30,2.300000,2.353330,2.200000,2.200000,2.062566,20800650
2018-02-02,2.200000,2.246670,2.093330,2.113330,1.981310,25874400
2018-02-05,2.073330,2.106670,1.986670,2.086670,1.956316,34650000
2018-02-06,2.000000,2.086670,1.993330,2.086670,1.956316,32369400
2018-02-07,2.133330,2.220000,2.133330,2.200000,2.062566,42832650
2018-02-08,2.200000,2.220000,2.173330,2.200000,2.062566,8828400
2018-02-09,2.133330,2.226670,2.093330,2.226670,2.087570,14065650
2018-02-12,2.226670,2.253330,2.113330,2.140000,2.006315,10144350
2018-02-13,2.160000,2.213330,2.140000,2.206670,2.068820,11187750
2018-02-14,2.213330,2.226670,2.186670,2.206670,2.068820,3773400
2018-02-15,2.206670,2.206670,2.206670,2.206670,2.068820,0
