Date,Open,High,Low,Close,Adj Close,Volume
2018-03-06,0.305000,0.320000,0.285000,0.295000,0.279876,82804300
2018-03-07,0.295000,0.300000,0.290000,0.290000,0.275133,3328300
2018-03-08,0.290000,0.300000,0.285000,0.290000,0.275133,1593200
2018-03-09,0.285000,0.290000,0.275000,0.290000,0.275133,3360800
2018-03-12,0.285000,0.290000,0.275000,0.285000,0.270389,5061800
2018-03-13,0.280000,0.290000,0.280000,0.285000,0.270389,3114000
2018-03-14,0.280000,0.285000,0.280000,0.280000,0.265645,722200
2018-03-15,0.280000,0.280000,0.270000,0.270000,0.256158,2363900
2018-03-16,0.275000,0.280000,0.270000,0.275000,0.260901,1968200
2018-03-19,0.275000,0.275000,0.260000,0.270000,0.256158,2362500
2018-03-20,0.265000,0.275000,0.265000,0.270000,0.256158,1749000
2018-03-21,0.265000,0.265000,0.260000,0.265000,0.251414,1456200
2018-03-22,0.260000,0.260000,0.260000,0.260000,0.246671,224800
2018-03-23,0.260000,0.260000,0.255000,0.260000,0.246671,372000
2018-03-26,0.255000,0.255000,0.255000,0.255000,0.241927,915000
2018-03-27,0.260000,0.260000,0.245000,0.255000,0.241927,868500
2018-03-28,0.250000,0.250000,0.240000,0.240000,0.227696,1911000
2018-03-29,0.245000,0.255000,0.245000,0.250000,0.237183,299000
2018-03-30,0.240000,0.245000,0.240000,0.240000,0.227696,424000
2018-04-02,0.245000,0.250000,0.245000,0.250000,0.237183,299000
2018-04-03,0.245000,0.245000,0.240000,0.240000,0.227696,502500
2018-04-04,0.245000,0.245000,0.230000,0.240000,0.227696,1046000
2018-04-05,0.235000,0.240000,0.230000,0.240000,0.227696,178000
2018-04-06,0.200000,0.235000,0.200000,0.230000,0.218209,226100
2018-04-09,0.230000,0.245000,0.230000,0.235000,0.222952,570000
2018-04-10,0.235000,0.245000,0.235000,0.245000,0.232440,229700
2018-04-11,0.255000,0.255000,0.255000,0.255000,0.241927,12200
2018-04-12,0.220000,0.250000,0.220000,0.250000,0.237183,226700
2018-04-13,0.245000,0.250000,0.245000,0.250000,0.237183,1267900
2018-04-16,0.260000,0.265000,0.260000,0.260000,0.246671,250800
2018-04-17,0.260000,0.260000,0.260000,0.260000,0.246671,0
2018-04-18,0.260000,0.260000,0.260000,0.260000,0.246671,0
2018-04-19,0.260000,0.260000,0.260000,0.260000,0.246671,0
2018-04-20,0.260000,0.260000,0.260000,0.260000,0.246671,0
2018-04-23,0.260000,0.270000,0.260000,0.260000,0.246671,382500
2018-04-24,0.260000,0.260000,0.260000,0.260000,0.246671,3000
2018-04-25,0.250000,0.265000,0.250000,0.260000,0.246671,587000
2018-04-26,0.260000,0.260000,0.260000,0.260000,0.246671,0
2018-04-27,0.250000,0.250000,0.245000,0.245000,0.232440,42000
2018-04-30,0.240000,0.240000,0.240000,0.240000,0.227696,1000
2018-05-02,0.240000,0.245000,0.240000,0.245000,0.232440,668000
2018-05-03,0.250000,0.250000,0.245000,0.250000,0.237183,33400
2018-05-04,0.250000,0.250000,0.250000,0.250000,0.237183,10000
2018-05-07,0.240000,0.240000,0.240000,0.240000,0.227696,1000
2018-05-08,0.245000,0.250000,0.245000,0.250000,0.237183,272000
2018-05-14,0.240000,0.265000,0.230000,0.245000,0.232440,309200
2018-05-15,0.245000,0.245000,0.245000,0.245000,0.232440,0
2018-05-16,0.250000,0.250000,0.245000,0.245000,0.232440,12000
2018-05-17,0.260000,0.260000,0.250000,0.255000,0.241927,505000
2018-05-18,0.255000,0.255000,0.255000,0.255000,0.241927,0
2018-05-21,0.260000,0.260000,0.260000,0.260000,0.246671,52100
2018-05-22,0.260000,0.260000,0.260000,0.260000,0.246671,0
2018-05-23,0.255000,0.255000,0.235000,0.250000,0.237183,326000
2018-05-24,0.250000,0.250000,0.250000,0.250000,0.237183,0
2018-05-25,0.250000,0.250000,0.250000,0.250000,0.237183,40000
2018-05-28,0.250000,0.250000,0.250000,0.250000,0.237183,0
2018-05-30,0.250000,0.250000,0.250000,0.250000,0.237183,0
2018-05-31,0.230000,0.230000,0.230000,0.230000,0.218209,0
2018-06-01,0.235000,0.235000,0.235000,0.235000,0.222952,0
2018-06-04,0.230000,0.230000,0.230000,0.230000,0.218209,9000
2018-06-05,0.230000,0.230000,0.230000,0.230000,0.218209,0
2018-06-06,0.240000,0.250000,0.230000,0.250000,0.237183,99000
2018-06-07,0.250000,0.250000,0.250000,0.250000,0.237183,0
2018-06-08,0.250000,0.250000,0.250000,0.250000,0.237183,0
2018-06-11,0.235000,0.245000,0.235000,0.245000,0.232440,139000
2018-06-12,0.245000,0.245000,0.245000,0.245000,0.237282,0
2018-06-13,0.235000,0.240000,0.230000,0.240000,0.232440,92000
2018-06-14,0.240000,0.240000,0.240000,0.240000,0.232440,0
2018-06-18,0.240000,0.240000,0.240000,0.240000,0.232440,0
2018-06-19,0.240000,0.240000,0.240000,0.240000,0.232440,0
2018-06-20,0.250000,0.250000,0.235000,0.235000,0.227597,13100
2018-06-21,0.235000,0.245000,0.220000,0.245000,0.237282,304700
2018-06-22,0.245000,0.245000,0.245000,0.245000,0.237282,0
2018-06-25,0.240000,0.240000,0.220000,0.220000,0.213070,35000
2018-06-26,0.235000,0.245000,0.225000,0.245000,0.237282,12900
2018-06-27,0.225000,0.225000,0.225000,0.225000,0.217912,64700
2018-06-28,0.235000,0.245000,0.235000,0.245000,0.237282,22500
2018-06-29,0.245000,0.245000,0.245000,0.245000,0.237282,0
2018-07-02,0.225000,0.230000,0.225000,0.230000,0.222755,65000
2018-07-03,0.225000,0.240000,0.225000,0.240000,0.232440,57500
2018-07-04,0.235000,0.250000,0.235000,0.235000,0.227597,52900
2018-07-05,0.235000,0.235000,0.235000,0.235000,0.227597,0
2018-07-06,0.235000,0.245000,0.225000,0.245000,0.237282,322000
2018-07-09,0.240000,0.240000,0.235000,0.235000,0.227597,140000
2018-07-10,0.235000,0.235000,0.235000,0.235000,0.227597,5000
2018-07-11,0.235000,0.235000,0.235000,0.235000,0.227597,0
2018-07-12,0.245000,0.245000,0.245000,0.245000,0.237282,3000
2018-07-13,0.250000,0.250000,0.225000,0.235000,0.227597,192000
2018-07-16,0.245000,0.245000,0.245000,0.245000,0.237282,1000
2018-07-17,0.235000,0.245000,0.230000,0.245000,0.237282,64000
2018-07-18,0.240000,0.245000,0.235000,0.235000,0.227597,180000
2018-07-19,0.240000,0.240000,0.235000,0.235000,0.227597,44200
2018-07-20,0.240000,0.245000,0.235000,0.240000,0.232440,271600
2018-07-23,0.245000,0.275000,0.245000,0.275000,0.266337,955000
2018-07-24,0.270000,0.280000,0.265000,0.280000,0.271179,750300
2018-07-25,0.280000,0.290000,0.270000,0.290000,0.280864,1752000
2018-07-26,0.280000,0.280000,0.280000,0.280000,0.271179,68500
2018-07-27,0.280000,0.280000,0.280000,0.280000,0.271179,312000
2018-07-30,0.280000,0.285000,0.280000,0.285000,0.276022,500000
2018-07-31,0.290000,0.290000,0.285000,0.285000,0.276022,246100
2018-08-01,0.285000,0.320000,0.285000,0.315000,0.305077,4207000
2018-08-02,0.315000,0.340000,0.305000,0.325000,0.314762,6967800
2018-08-03,0.330000,0.335000,0.310000,0.315000,0.305077,2215200
2018-08-06,0.315000,0.320000,0.315000,0.320000,0.309919,176000
2018-08-07,0.320000,0.325000,0.315000,0.325000,0.314762,2851400
2018-08-08,0.325000,0.330000,0.320000,0.325000,0.314762,2175000
2018-08-09,0.325000,0.330000,0.325000,0.325000,0.314762,1450000
2018-08-10,0.320000,0.350000,0.320000,0.345000,0.334132,11028500
2018-08-13,0.345000,0.355000,0.340000,0.345000,0.334132,5084500
2018-08-14,0.350000,0.355000,0.345000,0.350000,0.338974,2824700
2018-08-15,0.360000,0.375000,0.355000,0.360000,0.348659,8909000
2018-08-16,0.360000,0.370000,0.345000,0.350000,0.338974,7754500
2018-08-17,0.355000,0.355000,0.325000,0.330000,0.319604,4483700
2018-08-20,0.330000,0.335000,0.325000,0.335000,0.324447,1735700
2018-08-21,0.340000,0.345000,0.325000,0.330000,0.319604,3264800
2018-08-23,0.330000,0.335000,0.325000,0.325000,0.314762,1602300
2018-08-24,0.325000,0.375000,0.325000,0.365000,0.353502,17388800
2018-08-27,0.380000,0.385000,0.355000,0.370000,0.358344,10318300
2018-08-28,0.370000,0.385000,0.365000,0.375000,0.363187,6780300
2018-08-29,0.375000,0.380000,0.375000,0.375000,0.363187,2703000
2018-08-30,0.375000,0.385000,0.355000,0.360000,0.348659,8168400
2018-09-03,0.360000,0.360000,0.340000,0.345000,0.334132,3279900
2018-09-04,0.350000,0.355000,0.345000,0.345000,0.334132,3356700
2018-09-05,0.350000,0.360000,0.340000,0.340000,0.329289,6128100
2018-09-06,0.340000,0.350000,0.340000,0.350000,0.338974,1815900
2018-09-07,0.350000,0.350000,0.340000,0.345000,0.334132,1201800
2018-09-12,0.345000,0.345000,0.325000,0.335000,0.324447,3212600
2018-09-13,0.330000,0.340000,0.330000,0.330000,0.319604,3758800
2018-09-14,0.330000,0.350000,0.330000,0.345000,0.334132,4350100
2018-09-18,0.335000,0.340000,0.330000,0.335000,0.324447,1234000
2018-09-19,0.335000,0.340000,0.335000,0.335000,0.324447,781100
2018-09-20,0.335000,0.375000,0.335000,0.370000,0.358344,9616600
2018-09-21,0.375000,0.375000,0.350000,0.365000,0.353502,4849400
2018-09-24,0.365000,0.365000,0.350000,0.365000,0.353502,703500
2018-09-25,0.360000,0.370000,0.355000,0.360000,0.348659,2996500
2018-09-26,0.365000,0.395000,0.365000,0.390000,0.377714,24115700
