Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,0.575000,0.620000,0.575000,0.580000,0.580000,1413500
2018-01-03,0.585000,0.600000,0.570000,0.580000,0.580000,1194200
2018-01-04,0.585000,0.590000,0.575000,0.580000,0.580000,625900
2018-01-05,0.585000,0.595000,0.585000,0.585000,0.585000,430800
2018-01-08,0.590000,0.620000,0.585000,0.620000,0.620000,2409200
2018-01-09,0.625000,0.665000,0.625000,0.650000,0.650000,4405300
2018-01-10,0.655000,0.695000,0.640000,0.680000,0.680000,3479200
2018-01-11,0.685000,0.705000,0.660000,0.665000,0.665000,2248000
2018-01-12,0.665000,0.685000,0.650000,0.655000,0.655000,301200
2018-01-15,0.660000,0.660000,0.650000,0.650000,0.650000,337200
2018-01-16,0.645000,0.645000,0.580000,0.580000,0.580000,1712000
2018-01-17,0.580000,0.610000,0.580000,0.595000,0.595000,1472200
2018-01-18,0.595000,0.600000,0.580000,0.580000,0.580000,1008900
2018-01-19,0.600000,0.635000,0.600000,0.605000,0.605000,4286400
2018-01-22,0.610000,0.625000,0.600000,0.600000,0.600000,1812200
2018-01-23,0.600000,0.605000,0.595000,0.600000,0.600000,1210400
2018-01-24,0.600000,0.605000,0.595000,0.605000,0.605000,489600
2018-01-25,0.600000,0.600000,0.585000,0.590000,0.590000,1329900
2018-01-26,0.585000,0.590000,0.580000,0.590000,0.590000,2820300
2018-01-29,0.590000,0.600000,0.585000,0.590000,0.590000,1524000
2018-01-30,0.585000,0.590000,0.580000,0.590000,0.590000,347200
2018-02-02,0.585000,0.590000,0.570000,0.590000,0.590000,388500
2018-02-05,0.575000,0.585000,0.570000,0.585000,0.585000,184100
2018-02-06,0.570000,0.570000,0.545000,0.555000,0.555000,1171300
2018-02-07,0.555000,0.570000,0.485000,0.490000,0.490000,3292200
2018-02-08,0.500000,0.515000,0.495000,0.510000,0.510000,5686400
2018-02-09,0.500000,0.505000,0.470000,0.470000,0.470000,3492800
2018-02-12,0.475000,0.485000,0.465000,0.465000,0.465000,2694200
2018-02-13,0.470000,0.475000,0.430000,0.440000,0.440000,2750300
2018-02-14,0.450000,0.450000,0.430000,0.435000,0.435000,955900
2018-02-15,0.435000,0.450000,0.435000,0.440000,0.440000,182400
2018-02-16,null,null,null,null,null,null
2018-02-19,0.450000,0.480000,0.450000,0.470000,0.470000,1136000
2018-02-20,0.475000,0.495000,0.470000,0.490000,0.490000,4531500
2018-02-21,0.495000,0.530000,0.495000,0.505000,0.505000,9479900
2018-02-22,0.505000,0.510000,0.500000,0.505000,0.505000,1100700
2018-02-23,0.505000,0.510000,0.500000,0.505000,0.505000,362500
