Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,0.370000,0.370000,0.370000,0.370000,0.370000,22000
2018-01-03,0.370000,0.370000,0.370000,0.370000,0.370000,0
2018-01-04,0.370000,0.400000,0.370000,0.400000,0.400000,183000
2018-01-05,0.400000,0.400000,0.395000,0.395000,0.395000,8000
2018-01-08,0.390000,0.400000,0.390000,0.400000,0.400000,50000
2018-01-09,0.400000,0.400000,0.390000,0.395000,0.395000,56800
2018-01-10,0.390000,0.410000,0.385000,0.405000,0.405000,191800
2018-01-11,0.400000,0.400000,0.400000,0.400000,0.400000,10000
2018-01-12,0.400000,0.400000,0.400000,0.400000,0.400000,0
2018-01-15,0.390000,0.395000,0.390000,0.390000,0.390000,87000
2018-01-16,0.390000,0.390000,0.390000,0.390000,0.390000,0
2018-01-17,0.390000,0.390000,0.390000,0.390000,0.390000,23500
2018-01-18,0.395000,0.395000,0.395000,0.395000,0.395000,59500
2018-01-19,0.390000,0.390000,0.390000,0.390000,0.390000,34500
2018-01-22,0.400000,0.400000,0.390000,0.390000,0.390000,60200
2018-01-23,0.380000,0.380000,0.380000,0.380000,0.380000,10000
2018-01-24,0.380000,0.380000,0.380000,0.380000,0.380000,0
2018-01-25,0.385000,0.385000,0.385000,0.385000,0.385000,38200
2018-01-26,0.385000,0.385000,0.385000,0.385000,0.385000,0
2018-01-29,0.385000,0.385000,0.385000,0.385000,0.385000,0
2018-01-30,0.365000,0.365000,0.365000,0.365000,0.365000,10000
2018-02-02,0.375000,0.420000,0.370000,0.420000,0.420000,80600
2018-02-05,0.410000,0.410000,0.370000,0.390000,0.390000,108800
2018-02-06,0.385000,0.385000,0.385000,0.385000,0.385000,12000
2018-02-07,0.370000,0.370000,0.330000,0.340000,0.340000,90300
2018-02-08,0.360000,0.365000,0.345000,0.345000,0.345000,18000
2018-02-09,0.345000,0.375000,0.345000,0.345000,0.345000,45600
2018-02-12,0.345000,0.345000,0.345000,0.345000,0.345000,0
2018-02-13,0.335000,0.335000,0.330000,0.330000,0.330000,10000
2018-02-14,0.330000,0.330000,0.330000,0.330000,0.330000,0
2018-02-15,0.350000,0.350000,0.350000,0.350000,0.350000,63800
2018-02-16,0.350000,0.350000,0.350000,0.350000,0.350000,0
2018-02-19,0.350000,0.350000,0.350000,0.350000,0.350000,0
2018-02-20,0.350000,0.350000,0.350000,0.350000,0.350000,27700
2018-02-21,0.350000,0.350000,0.350000,0.350000,0.350000,0
2018-02-22,0.350000,0.350000,0.350000,0.350000,0.350000,0
2018-02-23,0.350000,0.350000,0.350000,0.350000,0.350000,0
2018-02-26,0.350000,0.355000,0.350000,0.355000,0.355000,31700
